Germany,English
Lehrer,Teacher
Student,Student
Schüler,Pupils
Buch,Book
Heft,Notebook
Papier,Paper
Stift,Pen
Computer,computer
Laptop,laptop
Telefon,phone
Handy,mobile phone
Internet,Internet
Musik,Music
Lied,song
Film,film
Spiel,Game
Sport,sport
Fußball,football
Geld,Money
Arbeit,Work
Beruf,Profession
Firma,company
Geschäft,Business
Markt,market
Arzt,Physician
Krankenhaus,hospital
Apotheke,Pharmacy
Polizei,police
Feuerwehr,Fire department
Bank,bank
Post,post
Kirche,Church
Sonne,Sun
Mond,moon
Stern,star
Himmel,Heaven
Wolke,Cloud
Regen,Rain
Schnee,Snow
Wind,wind
Sturm,Storm
Baum,Tree
Blume,flower
Gras,grass
Wald,Forest
Berg,Mountain
Fluss,Flow
Meer,sea
See,lake
Strand,Beach
rot,red
blau,blue
grün,green
gelb,yellow
schwarz,black
weiß,white
grau,gray
braun,brown
orange,orange
rosa,pink
groß,large
klein,small
lang,long
kurz,short
hoch,high
niedrig,low
gut,good
schlecht,bad
neu,new
alt,old
jung,young
schön,nice
hässlich,ugly
stark,strong
schwach,weak
schnell,fast
langsam,slow
warm,warm
kalt,cold
heiß,hot
richtig,correct
falsch,incorrect
leicht,light
schwer,difficult
teuer,expensive
billig,cheap
freundlich,friendly
traurig,sad
glücklich,happy
müde,tired
krank,sick
gesund,healthy
ja,Yes
nein,no
bitte,please
danke,Thanks
hallo,Hello
tschüss,bye
willkommen,welcome
entschuldigung,excuse
wo,where
wann,When
warum,Why
wie,How
wer,who
was,What
welcher,which
hier,here
dort,there
oben,above
unten,below
links,left
rechts,right
innen,inside
außen,outside
vor,before
hinter,behind
neben,next to
zwischen,between
unter,under
über,above
mit,with
ohne,without
für,for
gegen,against
durch,through
wegen,because of
nach,after
von,from
zu,to
bei,at
an,to
in,in
aus,out of
um,to
sehr,very
auch,also
nur,only
schon,already
noch,still
wieder,again
zusammen,together
allein,alone
zuerst,first
zuletzt,last
genug,enough
fast,almost
wirklich,really
vielleicht,perhaps
bestimmt,certainly
natürlich,naturally
heute,today
morgen,morning
gestern,yesterday
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Januar,January
Februar,February
März,March
April,April
Mai,May
Juni,June
Juli,July
August,August
September,September
Oktober,October
November,November
Dezember,December
eins,one
zwei,two
drei,three
vier,four
fünf,five
sechs,six
sieben,seven
acht,eight
neun,nine
zehn,ten
elf,eleven
zwölf,twelve
dreizehn,thirteen
vierzehn,fourteen
fünfzehn,fifteen
sechzehn,sixteen
siebzehn,seventeen
achtzehn,eighteen
neunzehn,nineteen
zwanzig,twenty
hundert,hundred
tausend,thousand
erste,first
zweite,second
dritte,third
letzte,last
Kopf,Head
Gesicht,Face
Auge,Eye
Nase,Nose
Mund,mouth
Ohr,Ear
Haar,hair
Hand,hand
Finger,finger
Arm,arm
Bein,leg
Fuß,Foot
Herz,Heart
Rücken,Back
Bauch,Belly
Zahn,Tooth
Blut,blood
Kleidung,Clothing
Hemd,Shirt
Hose,trousers
Jacke,Jacket
Mantel,Coat
Kleid,Dress
Rock,rock
Schuh,shoe
Socke,sock
Mütze,Cap
Tasche,Bag
Ring,ring
Uhr,Clock
Brille,Glasses
Reise,Trip
Urlaub,Vacation
Hotel,hotel
Zimmer,Room
Schlüssel,Key
Karte,Map
Ticket,ticket
Besuch,Visit
Party,party
Treffen,Meet
Liebe,Love
Glück,Luck
Freude,Joy
Hoffnung,Hope
Angst,Fear
Problem,problem
Lösung,Solution
Idee,idea
Frage,Ask
Antwort,Answer
Geschichte,Story
Nachricht,News
Zeitung,Newspaper
Zeitschrift,magazine
Bild,Picture
Foto,photo
Kunst,Art
Sprache,Language
Deutsch,German
Englisch,English
Französisch,French
Wort,Word
Satz,Sentence
Buchstabe,letter
Nummer,number
Adresse,address
Stunde,Hour
Moment,moment
Anfang,Beginning
Ende,End
Mitte,center
Platz,Place
Raum,Space
Seite,Page
Linie,line
Punkt,Point
Form,form
Farbe,Color
Licht,Light
Schatten,Shadow
Energie,energy
Kraft,Power
Maschine,machine
Werkzeug,Tool
Material,material
Holz,Wood
Stein,Stone
Metall,metal
Glas,Glass
Plastik,plastic
Gold,Gold
Silber,Silver
Marke,brand
Preis,Price
Kunde,customer
Chef,boss
Kollege,Colleague
Team,team
Projekt,project
Plan,plan
Ziel,Goal
Erfolg,Success
Fehler,Mistake
Chance,chance
Grund,Reason
Beispiel,Example
Regel,Rule
Gesetz,Law
Politik,policy
Regierung,Government
Präsident,president
König,king
Landkarte,map
Welt,World
Europa,Europe
Afrika,Africa
Asien,Asia
Amerika,America
Australien,Australia
Insel,Island
Grenze,Border
Sprung,Jump
Tanz,dance
Lachen,Laugh
Weinen,Cry
Singen,Sing
Kochen,Cook
Backen,Bake
Waschen,Wash
Putzen,Cleaning
Reparatur,repair
Bauen,Build
Zeigen,Show
Erklären,Explain
Entscheiden,Decide
Ändern,Change
Nutzen,To use
Folgen,Follow
Treffen,Meet
Anrufen,Call
Suchen,Seek
Warten,Wait
Reisen,Travel
Feiern,Celebrate
Spielen,Play
Üben,Practice
Sammeln,Collect
Vergleichen,Compare
Bewegen,Move
Schützen,Protect
Entdecken,Discover
Erreichen,To reach
